description,title,section,site,issue_num,link
Dan Kim writes about this little touches in Kotlin that really add up to a lovable language.,Kotlin: It’s the little things,Articles & Tutorials,m.signalvnoise.com,262,https://m.signalvnoise.com/kotlin-its-the-little-things-8c0f501bc6ea
Kyle Venn shares an overview of how the Vimeo app was updated with Instant Apps support.,"Android Instant Apps, step-by-step",Articles & Tutorials,medium.com,262,https://medium.com/vimeo-engineering-blog/vimeo-android-instant-apps-2f8b1e94760c
"Upgrading to Android Studio 3.0 will make building multi-module projects a lot faster, but it also means a breaking Gradle plugin API changes. Jeroen Mols details all benefits of this change and guide you through the upgrade process.",Implementation vs API dependency,Articles & Tutorials,jeroenmols.com,262,http://jeroenmols.com/blog/2017/06/14/androidstudio3/
Some nice strategies by Enrique López Mañas on how to migrate your existing Codebase to Kotlin.,On Strategies to apply Kotlin to existing Java code,Articles & Tutorials,medium.com,262,https://medium.com/@enriquelopezmanas/on-strategies-to-apply-kotlin-to-existing-java-code-6317974717ec
Kotlin's null safety can occasionally create some tricky situations. Dan Lew demonstrates a number of strategies to convince the compiler that your code is okay!!,Convincing the Kotlin compiler that code is safe,Articles & Tutorials,blog.danlew.net,262,http://blog.danlew.net/2017/06/14/convincing-the-kotlin-compiler-that-code-is-safe/
"Fonts have received a lot of love from Google in Android O. In this article Mark Allison takes a look at how to use the new Downloadable Fonts, and some potential gotchas.",Downloadable Fonts,Articles & Tutorials,blog.stylingandroid.com,262,https://blog.stylingandroid.com/downloadable-fonts/
"Another day, another unexpected side-effect of Android 8.0’s front in the War on Background Processing.","Action Boot Completed, IntentService, and Android 8.0",Articles & Tutorials,commonsware.com,262,https://commonsware.com/blog/2017/06/12/action_boot_completed-intentservice-android-8p0.html
Christophe takes a close look at compiled Kotlin code to find some hidden gotchas to be careful of.,Exploring Kotlin’s hidden costs — Part 2,Articles & Tutorials,medium.com,262,https://medium.com/@BladeCoder/exploring-kotlins-hidden-costs-part-2-324a4a50b70
Antonio Leiva's in-depth look at Kotlin coroutines.,A first walk into Kotlin coroutines on Android,Articles & Tutorials,android.jlelse.eu,262,https://android.jlelse.eu/a-first-walk-into-kotlin-coroutines-on-android-fe4a6e25f46a
This is the second part of the blog series about how the book “Effective Java” may have influenced Kotlin’s design.,How “Effective Java” may have influenced the design of Kotlin — Part 2,Articles & Tutorials,medium.com,262,https://medium.com/@lukleDev/how-effective-java-may-have-influenced-the-design-of-kotlin-part-2-89844d62ddf3
Nice article by Sascha Peilicke on how to implement Chrome Custom Tabs using a little library he has created. The library deals with detecting Chrome and falling back to good old WebView if it isn't available.,Chrome Custom Tabs for Android,Articles & Tutorials,medium.com,262,https://medium.com/@saschpe/chrome-custom-tabs-for-android-fa71777f67de
Instacart saves every user an hour a week by delivering groceries. Amazon just spent 13 billion dollars to fight us. Want to beat the biggest e-commerce company in the world?! Join us,Android developer at Instacart,Jobs,San Francisco,262,http://grnh.se/n6bgw71
Don’t come here for a job. Come here to be a part of something meaningful.,Android Developer,Jobs,"Charlottesville, VA OR Durham, NC",262,https://willowtreeapps.com/careers
"Letgo is the fastest growing mobile marketplace to buy and sell locally. We’re powering a new, mobile, secondhand economy so that nothing goes unused. Since we launched in 2015, we’ve had over 45M downloads with 20M active users on our app. We currently have offices in Barcelona and New York.",Senior Android Developer,Jobs,"Barcelona, Spain",262,http://careers.letgo.com/index.php?m=portal&a=details&jobOrderID=6094667&category=extraField192231&option2=technology
Chrome CustomTabs for Android demystified. Simplifies development and provides higher level classes including fallback in case Chrome isn't available on device.,Android Customtabs,Libraries & Code,github.com,262,https://github.com/saschpe/android-customtabs
The 11.0.0 release of the Google Play services SDK includes a new way to access LocationServices. The new APIs do not require your app to manually manage a connection to Google Play services through a GoogleApiClient. This reduces boilerplate and common pitfalls in your app.,Reduce friction with the new Location APIs,News,android-developers.googleblog.com,262,https://android-developers.googleblog.com/2017/06/reduce-friction-with-new-location-apis.html
The Gradle team is pleased to announce Gradle 4.0.,Gradle 4.0 Release Notes,News,docs.gradle.org,262,https://docs.gradle.org/4.0/release-notes.html
"Semantic time support has come to the Awareness APIs so that they can talk about ""This weekend"", ""on the next holiday"", ""after sunset"", all very common and colloquial ways of expressing time.",Semantic Time support now available on the Awareness APIs,News,android-developers.googleblog.com,262,https://android-developers.googleblog.com/2017/06/semantic-time-support-now-available-on.html
A new preview is out - the release contains new hardware support and performance improvements.,Android Things Developer Preview 4.1,News,android-developers.googleblog.com,262,https://android-developers.googleblog.com/2017/06/android-things-developer-preview-41.html
"Google provides a new Play Billing Library developer preview to help simplify the development process, allowing you to focus your efforts on implementing logic specifics to your app, such as displaying in-app products and purchasing items.",Introducing the Play Billing Library - DP #1,Videos & Podcasts,www.youtube.com,262,https://www.youtube.com/watch?v=9chvh1WYCvw&feature=youtu.be
"In this mini-Fragment episode, Donn talks about Working Effectively with Legacy Code",Working Effectively with Legacy Code,Videos & Podcasts,fragmentedpodcast.com,262,http://fragmentedpodcast.com/episodes/86/
"While in Boston for Droidcon Boston, Huyen chats with Caren Chang, Android engineer for June, about how to take advantage of the under-used but incredibly awesome world of application shortcuts",App Shortcuts,Videos & Podcasts,www.youtube.com,262,https://www.youtube.com/watch?v=28q6EFyRshs&feature=youtu.be
