description,title,section,site,issue_num,link
Jeroen Mols demonstrates the power of custom Mockito matchers.,Extending Mockito,Articles & Tutorials,jeroenmols.com,230,http://jeroenmols.com/blog/2016/10/31/mockitomatchers/
"In the previous article Mark Allison looked at how we can create a chain, and then saw what we could do with basic spread chains. This article introduces the “inside spread chains.”",ConstraintLayout Chains – Part 2,Articles & Tutorials,blog.stylingandroid.com,230,https://blog.stylingandroid.com/constraintlayout-chains-part-2/
"Kotlin 1.1 will bring coroutines to the language, which allows computations to be suspended at some points and continue later on.",A glimpse of Async-Await on Android,Articles & Tutorials,medium.com,230,https://medium.com/@haarman.niek/async-await-in-android-f0202cf31088#.bpzsiyz97
Here's what's new in RxJava 2.0.,What's different in 2.0,Articles & Tutorials,github.com,230,https://github.com/ReactiveX/RxJava/wiki/What's-different-in-2.0
"You never know what might kill your Activity, which is why you need to be prepared. Joanna Smith shows how to make sure your app is ready to deal with configuration changes.",Activity Revival and the case of the Rotating Device,Articles & Tutorials,medium.com,230,https://medium.com/google-developers/activity-revival-and-the-case-of-the-rotating-device-167e34f9a30d#.5ycoeubsd
"Last week, Pierre-Yves Ricau found an interesting API design issue in the Throwable class of the JDK that led to bugs in RxJava and Retrofit. This is a write-up of how he found those bugs.",RxJava and Retrofit Throwing a Tantrum,Articles & Tutorials,medium.com,230,https://medium.com/square-corner-blog/no-cause-for-concern-rxjava-and-retrofit-throwing-a-tantrum-96c9e4ba8a6c#.cu18601rx
An article on how to get Espresso to wait for RxJava's background schedulers.,Retrofitting Espresso,Articles & Tutorials,collectiveidea.com,230,http://collectiveidea.com/blog/archives/2016/10/13/retrofitting-espresso/
"Kotlin gives us powerful ways to expand the language, but is there something we can exploit to improve the way functions are invoked?",Composing functions in Kotlin with extensions and operators,Articles & Tutorials,www.novoda.com,230,https://www.novoda.com/blog/composing-functions-in-kotlin-with-extensions-and-operators/
A story about why the old fashioned way of authentication sucks and how we can do better without neglecting our users’ security (using Android KeyStore).,Authentication sucks. Bad security too.,Articles & Tutorials,medium.com,230,https://medium.com/@flschweiger/authentication-sucks-bad-security-too-345ed20463d4#.yl40vbtgd
Buddybuild is a mobile continuous integration and deployment platform that takes minutes to set-up. Our SDK makes it super easy to get feedback and crash reports from users in real-time. Focus on what you do best: creating apps people love!,Buddybuild: continuous integration & delivery made easy!,Sponsored,buddybuild.com,230,https://buddybuild.com/?ref=androidweekly1023
"Thousands of potential jobs, one application - Hired is the 21st century job platform.",Get 5+ Job Offers in 1 Week with Hired!,Sponsored,www.hired.com,230,http://www.hired.com/?utm_source=newsletters&utm_medium=androidweekly&utm_content=1week&utm_campaign=q3-16
You want to advertise your service or product which helps Android developers in their daily business? Place a sponsored post in Android Weekly and reach more than 48000 Android developers around the world!,Place A Sponsored Post,Sponsored,androidweekly.net,230,http://androidweekly.net/jobs/new
Is your app going Material? Here there are my top 8 bad practices to avoid at all costs if you really want to rely on the Material Design system.,Eight don’ts for your Material Design app,Design,blog.prototypr.io,230,https://blog.prototypr.io/common-material-design-bad-practices-to-avoid-b7995f251329#.uyagbxyzg
"Netflix is the leading video streaming service globally and the Netflix Android application is one of the most widely used mobile applications. We work hard to constantly improve the performance, features, and quality of the app as we expand our coverage to every country in the world.",Senior Software Engineer - Android,Jobs,"Los Gatos, CA",230,https://jobs.lever.co/netflix/ff094eee-e8e2-4581-ac34-7bd3d96589ba?lever-origin=applied&lever-source%5B%5D=ANDROIDWEEKLY
"Come build the future of money at Circle. We are a fun, easy, and free way to send money to friends. We're rapidly expanding globally and we want you to help us build and improve our Google award-winning Android app.",Senior Android Developer,Jobs,"Boston, MA",230,https://www.circle.com/en/careers/job_20160608184006_JMIN4LRVVEKJJFIK
"Constant Contact is one of the best companies that provide email marketing services for SMBs. Come join our fun & easy going team and help us build the next level of Android apps using your creativity, drive for excellence and coding skills.",Senior Android Developer,Jobs,"Boston, MA",230,http://rolp.co/pTvVa
Use one line to apply almost famous libraries of proguard configurations.,Android-proguards,Libraries & Code,github.com,230,https://github.com/yongjhih/android-proguards
Moxy is a library that help to use MVP pattern when you do the Android Application. Without problems of lifecycle and boilerplate code!,Moxy,Libraries & Code,github.com,230,https://github.com/Arello-Mobile/Moxy
Wrapper around WifiManager and ConfigurationManager for Android,WiseFy,Libraries & Code,github.com,230,https://github.com/isuPatches/WiseFy
"With the release of Android Studio 2.2, the time has now come to say goodbye to the Eclipse Android Developer Tools.",Support Ended for Eclipse Android Developer Tools,News,android-developers.blogspot.com,230,http://android-developers.blogspot.com/2016/11/support-ended-for-eclipse-android.html
Google announces the availability of the Android 7.1 Developer Preview on Firebase Test Lab virtual devices.,Test on Android 7.1 Developer Preview in Firebase Test Lab,News,android-developers.blogspot.com,230,http://android-developers.blogspot.com/2016/11/android-dev-preview-in-firebase-test-lab.html
"Google has published ConstraintLayout beta 3, with several bug fixes.",ConstraintLayout beta 3 is now available,News,sites.google.com,230,https://sites.google.com/a/android.com/tools/recent/constraintlayoutbeta3isnowavailable
All the presentation recorded at Droidcon NYC 2016.,Droidcon NYC 2016,Videos & Podcasts,www.youtube.com,230,https://www.youtube.com/playlist?list=PLnVy79PaFHMXJha06t6pWfkYcATV4oPvC
