description,title,section,site,issue_num,link
Jeroen Mols aims to provide three very simple rules that will significantly ramp up your testing game. Every rule is followed by pragmatic tips so you can easily start implementing.,Write awesome unit tests,Articles & Tutorials,jeroenmols.com,245,http://jeroenmols.com/blog/2017/02/16/unittests/
Roger Silva shows how to enable mocking in Kotlin objects without the need to change its default immutability property exclusively for unit tests.,Helping to Mock Tests in Kotlin,Articles & Tutorials,medium.com,245,https://medium.com/@orogersilva/helping-androiddev-to-mock-tests-in-kotlin-ab3be5204559#.sxoxg1p6c
"In android development specifically, we have a god that we all know and love to hate: Context. The Philosophical Hacker shows why and how to kill off the Context god in apps.",How and Why I Kill God Objects,Articles & Tutorials,www.philosophicalhacker.com,245,https://www.philosophicalhacker.com/post/towards-godless-android-development-how-and-why-i-kill-god-objects/
"In this tutorial,  Chike Mgbemena writes about the Android Telephony and SMS API. You'll learn how to make a call from your app and how to monitor phone call events, as well as how to send and receive SMS.",How to Make Calls and Use SMS in Android Apps,Articles & Tutorials,code.tutsplus.com,245,https://code.tutsplus.com/tutorials/how-to-make-calls-and-use-sms-in-android-apps--cms-28168
"Rebecca Franks shares an app (and GitHub repo) that uses Android Things, Firebase and a Raspberry Pi to monitor the state of electricity in her home.",Android Things - Electricity Monitoring App,Articles & Tutorials,riggaroo.co.za,245,https://riggaroo.co.za/android-things-electricity-monitoring-app/
"Josias Sena discusses how to take advantage of the Android Keystore and store passwords, or any other sensitive data in it, encrypt the data, and decrypt that data right back.",Using Keystore system to store and retrieve sensitive information,Articles & Tutorials,medium.com,245,https://medium.com/@josiassena/using-the-android-keystore-system-to-store-sensitive-information-3a56175a454b#.h1sub91oo
"An introduction to dependency injection for Android, and how to implement it using Dagger 2.",The lost droid and the magic Dagger,Articles & Tutorials,medium.com,245,https://medium.com/rocknnull/the-lost-droid-and-the-magic-dagger-an-intro-to-dependency-injection-for-android-c686f4399117#.c8u7k4fpf
Mark Allison updates his Match Timer app (from earlier posts) to Android Wear 2.0,Wear 2.0: Match Timer – Part 1,Articles & Tutorials,blog.stylingandroid.com,245,https://blog.stylingandroid.com/wear-2-0-match-timer-part-1/
This blog post explains how a ViewPager can be used without Fragments.,ViewPager without Fragments,Articles & Tutorials,www.ottodroid.net,245,http://www.ottodroid.net/?p=523
Mostafa Gazar shares several tips on how to stress-test your apps.,Stress-testing Android apps,Articles & Tutorials,android.jlelse.eu,245,https://android.jlelse.eu/stress-testing-android-apps-601311ebf590#.sqeo44rhv
Marcin Robaczyński explores one of the pitfalls in how easy it is to create a memory leak with RxJava’s Subscriptions.,How to leak memory with Subscriptions in RxJava,Articles & Tutorials,medium.com,245,https://medium.com/@scanarch/how-to-leak-memory-with-subscriptions-in-rxjava-ae0ef01ad361#.20w4lbkxq
A reminder about how passing unit tests can contain code that fail on devices.,Your Unit tests might not be as reliable as you thought,Articles & Tutorials,afterecho.uk,245,https://afterecho.uk/blog/your-unit-tests-might-not-be-as-reliable-as-you-thought.html
Dan Lew shares how the Trello team implemented offline capabilities in their Android app.,Airplane Mode: Enabling Trello Mobile Offline,Articles & Tutorials,tech.trello.com,245,http://tech.trello.com/sync-architecture/
Want to move into Android? Corey Latislaw shares a complication of self-guided resources.,Self-guided resources to Android development,Articles & Tutorials,twitter.com,245,https://twitter.com/corey_latislaw/status/831624360175603713?s=03
"Join the Kobiton Beta and test your mobile app on the devices you need, when you need them.  Automatically generated activity logs help you track your progress and identify issues faster whether you are manually testing or running automated scripts. Sign up now and start testing in minutes.",Test your Mobile App on Real Devices for Free,Sponsored,kobiton.com,245,http://kobiton.com?utm_source=Android%20Weekly&utm_campaign=android_weekly_2.19&utm_medium=newsletter%20sponsorship&utm_content=beta%20message
"Special offer for Android Weekly readers: save $177 with coupon ""DEV238"". With Zendesk's Mobile SDK, you can join Rovio Games and Swiftkey in bringing rich, native, in-app support to your app quickly and easily. Try it out today.",Deliver in-app customer service with Zendesk,Sponsored,www.zendesk.com,245,https://www.zendesk.com/in-app-customer-service/?utm_medium=email&utm_source=Android_Weekly_Issue_238&utm_campaign=Android%2BWeekly
Want to work on the world's leading video platform and community for gamers? Join us at Twitch!,Android Engineer,Jobs,"San Francisco, CA",245,https://jobs.lever.co/twitch/8957b377-85c7-49a1-9329-282f04aab78b?lever-source=androidweekly
"Agoda is the largest and fastest growing online hotel booking platform in Asia, and as a Priceline Group company, we are part of the largest online travel company in the world. Our Android app is core to our business. You’ll work on a product that’s evolved tremendously and still has room to grow.",Senior Android Developer,Jobs,"Bangkok, Thailand",245,http://grnh.se/gpxu2b1
"This library aims to overcome the limitations of Toasts and Snackbars, while reducing the complexity of your layouts",Alerter,Libraries & Code,github.com,245,https://github.com/Tapadoo/Alerter
Android library which makes detecting gestures a breeze. The library is built for simplicity and ease of use. It eliminates most boilerplate code for dealing with setting up gesture detection on Android.,sensey,Libraries & Code,github.com,245,https://github.com/nisrulz/sensey
Beautiful and smooth custom loading views.,mkloader,Libraries & Code,github.com,245,https://github.com/nntuyen/mkloader
Kotlin 1.1 has finally reached the release candidate stage.,Kotlin 1.1 Release Candidate is Here,News,blog.jetbrains.com,245,https://blog.jetbrains.com/kotlin/2017/02/kotlin-1-1-release-candidate-is-here/
Highlights from the Google Play services 10.2 release.,Google Play Services 10.2 Release Notes,News,developers.google.com,245,https://developers.google.com/android/guides/releases#february_2017_-_v102
"Petr Nohejl presents about implementing MVVM on Android, and he shows how easy it is to implement on Android with the Data Binding Library.",MVVM on Android,Videos & Podcasts,www.youtube.com,245,https://www.youtube.com/watch?v=vnBmdKkMLZw
"In this mini-Fragment episode, Donn talks about Item #14 of the Effective Java series – In public classes, use accessor methods, not public fields.",Effective Java for Android Developers – Item #14,Videos & Podcasts,fragmentedpodcast.com,245,http://fragmentedpodcast.com/episodes/73/
Hugo Visser goes over what RxJava is and how you can use it to solve problems in your Android apps. He also discusses how you can prevent shooting yourself in the foot by looking at common mistakes.,RxJava for the Rest of Us,Videos & Podcasts,realm.io,245,https://realm.io/news/mobilization-hugo-visser-rxjava-for-rest-of-us/
